Product Name,brand,Image URL,Price,mst,desc,hex,product_type,product,imgSrc,price
"Half Naked Lashes, 421",Ardell,https://media.ulta.com/i/ulta/2634654?w=400&$ProductCardNeutralBGLight$&fmt=auto,8.39,Light,"Beautiful half naked lashes, 421 for a flawless finish",#b33f8d,Mascara,"Half Naked Lashes, 421",https://media.ulta.com/i/ulta/2634654?w=400&$ProductCardNeutralBGLight$&fmt=auto,8.39
Wispies False Eyelash Multipack,Ardell,https://media.ulta.com/i/ulta/2525725?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.09,Rich,Beautiful wispies false eyelash multipack for a flawless finish,#0d1948,Mascara,Wispies False Eyelash Multipack,https://media.ulta.com/i/ulta/2525725?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.09
Naked False Lashes #420 Multipack,Ardell,https://media.ulta.com/i/ulta/2576731?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.09,Deep,Beautiful naked false lashes #420 multipack for a flawless finish,#a83e87,Mascara,Naked False Lashes #420 Multipack,https://media.ulta.com/i/ulta/2576731?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.09
Duo Brush-On Adhesive With Vitamins,Ardell,https://media.ulta.com/i/ulta/2259800?w=400&$ProductCardNeutralBGLight$&fmt=auto,4.89,Medium,Beautiful duo brush-on adhesive with vitamins for a flawless finish,#915974,Makeup,Duo Brush-On Adhesive With Vitamins,https://media.ulta.com/i/ulta/2259800?w=400&$ProductCardNeutralBGLight$&fmt=auto,4.89
Seamless One Day Underlash Extension Kit – Faux Mink D Curl,Ardell,https://media.ulta.com/i/ulta/2627088?w=400&$ProductCardNeutralBGLight$&fmt=auto,11.89,Rich,Beautiful seamless one day underlash extension kit – faux mink d curl for a flawless finish,#140b9b,Mascara,Seamless One Day Underlash Extension Kit – Faux Mink D Curl,https://media.ulta.com/i/ulta/2627088?w=400&$ProductCardNeutralBGLight$&fmt=auto,11.89
Naked False Lashes #424 Multipack,Ardell,https://media.ulta.com/i/ulta/2576732?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.09,Light,Beautiful naked false lashes #424 multipack for a flawless finish,#f89e71,Mascara,Naked False Lashes #424 Multipack,https://media.ulta.com/i/ulta/2576732?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.09
"Active Lash Multipack Strip Lash, Pump'n",Ardell,https://media.ulta.com/i/ulta/2620644?w=400&$ProductCardNeutralBGLight$&fmt=auto,11.19,Medium,"Beautiful active lash multipack strip lash, pump'n for a flawless finish",#b9d6fb,Mascara,"Active Lash Multipack Strip Lash, Pump'n",https://media.ulta.com/i/ulta/2620644?w=400&$ProductCardNeutralBGLight$&fmt=auto,11.19
Naked False Lashes #421 Multipack,Ardell,https://media.ulta.com/i/ulta/2576730?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.09,Rich,Beautiful naked false lashes #421 multipack for a flawless finish,#3a5901,Mascara,Naked False Lashes #421 Multipack,https://media.ulta.com/i/ulta/2576730?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.09
Seamless Underlash Extension Kit - Wispies,Ardell,https://media.ulta.com/i/ulta/2616015?w=400&$ProductCardNeutralBGLight$&fmt=auto,13.29,Rich,Beautiful seamless underlash extension kit - wispies for a flawless finish,#3d55de,Mascara,Seamless Underlash Extension Kit - Wispies,https://media.ulta.com/i/ulta/2616015?w=400&$ProductCardNeutralBGLight$&fmt=auto,13.29
Naked False Lashes Multipack #425,Ardell,https://media.ulta.com/i/ulta/2627085?w=400&$ProductCardNeutralBGLight$&fmt=auto,8.39,Rich,Beautiful naked false lashes multipack #425 for a flawless finish,#aebef2,Mascara,Naked False Lashes Multipack #425,https://media.ulta.com/i/ulta/2627085?w=400&$ProductCardNeutralBGLight$&fmt=auto,8.39
Light As Air Lashes #523 Multipack,Ardell,https://media.ulta.com/i/ulta/2606003?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.59,Medium,Beautiful light as air lashes #523 multipack for a flawless finish,#bc1f35,Mascara,Light As Air Lashes #523 Multipack,https://media.ulta.com/i/ulta/2606003?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.59
"Press On Pre-glued Underlash Extensions, Wispies Natural",Ardell,https://media.ulta.com/i/ulta/2634738?w=400&$ProductCardNeutralBGLight$&fmt=auto,11.19,Light,"Beautiful press on pre-glued underlash extensions, wispies natural for a flawless finish",#bc84b4,Mascara,"Press On Pre-glued Underlash Extensions, Wispies Natural",https://media.ulta.com/i/ulta/2634738?w=400&$ProductCardNeutralBGLight$&fmt=auto,11.19
"Seamless Naked Kit, Underlash Application",Ardell,https://media.ulta.com/i/ulta/2620243?w=400&$ProductCardNeutralBGLight$&fmt=auto,13.29,Rich,"Beautiful seamless naked kit, underlash application for a flawless finish",#b6185e,Mascara,"Seamless Naked Kit, Underlash Application",https://media.ulta.com/i/ulta/2620243?w=400&$ProductCardNeutralBGLight$&fmt=auto,13.29
DUO Striplash Adhesive in Clear,Ardell,https://media.ulta.com/i/ulta/2063231?w=400&$ProductCardNeutralBGLight$&fmt=auto,4.89,Rich,Beautiful duo striplash adhesive in clear for a flawless finish,#314964,Mascara,DUO Striplash Adhesive in Clear,https://media.ulta.com/i/ulta/2063231?w=400&$ProductCardNeutralBGLight$&fmt=auto,4.89
Faux Mink #817 False Eyelash Multipack,Ardell,https://media.ulta.com/i/ulta/2538574?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.59,Rich,Beautiful faux mink #817 false eyelash multipack for a flawless finish,#35d358,Mascara,Faux Mink #817 False Eyelash Multipack,https://media.ulta.com/i/ulta/2538574?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.59
Seamless Underlash Extension Refill - Faux Mink,Ardell,https://media.ulta.com/i/ulta/2616016?w=400&$ProductCardNeutralBGLight$&fmt=auto,4.19,Medium,Beautiful seamless underlash extension refill - faux mink for a flawless finish,#716d5d,Mascara,Seamless Underlash Extension Refill - Faux Mink,https://media.ulta.com/i/ulta/2616016?w=400&$ProductCardNeutralBGLight$&fmt=auto,4.19
Faux Mink False Eyelash Combination Individuals,Ardell,https://media.ulta.com/i/ulta/2538578?w=400&$ProductCardNeutralBGLight$&fmt=auto,4.89,Medium,Beautiful faux mink false eyelash combination individuals for a flawless finish,#b07732,Mascara,Faux Mink False Eyelash Combination Individuals,https://media.ulta.com/i/ulta/2538578?w=400&$ProductCardNeutralBGLight$&fmt=auto,4.89
Light As Air Lashes #522 Multipack,Ardell,https://media.ulta.com/i/ulta/2606043?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.59,Rich,Beautiful light as air lashes #522 multipack for a flawless finish,#50bc19,Mascara,Light As Air Lashes #522 Multipack,https://media.ulta.com/i/ulta/2606043?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.59
"Naked Extensions Kit, Combo Individual Lashes",Ardell,https://media.ulta.com/i/ulta/2620228?w=400&$ProductCardNeutralBGLight$&fmt=auto,8.39,Light,"Beautiful naked extensions kit, combo individual lashes for a flawless finish",#661c51,Mascara,"Naked Extensions Kit, Combo Individual Lashes",https://media.ulta.com/i/ulta/2620228?w=400&$ProductCardNeutralBGLight$&fmt=auto,8.39
Active Duo Black Adhesive for Strip Lashes,Ardell,https://media.ulta.com/i/ulta/2597903?w=400&$ProductCardNeutralBGLight$&fmt=auto,6.29,Light,Beautiful active duo black adhesive for strip lashes for a flawless finish,#40a684,Mascara,Active Duo Black Adhesive for Strip Lashes,https://media.ulta.com/i/ulta/2597903?w=400&$ProductCardNeutralBGLight$&fmt=auto,6.29
Naked False Eyelashes #421 in Black,Ardell,https://media.ulta.com/i/ulta/2553182?w=400&$ProductCardNeutralBGLight$&fmt=auto,3.49,Rich,Beautiful naked false eyelashes #421 in black for a flawless finish,#16d273,Mascara,Naked False Eyelashes #421 in Black,https://media.ulta.com/i/ulta/2553182?w=400&$ProductCardNeutralBGLight$&fmt=auto,3.49
Soft Touch Trios False Eyelash in Short & Medium Length,Ardell,https://media.ulta.com/i/ulta/2525716?w=400&$ProductCardNeutralBGLight$&fmt=auto,3.49,Deep,Beautiful soft touch trios false eyelash in short & medium length for a flawless finish,#89d08b,Mascara,Soft Touch Trios False Eyelash in Short & Medium Length,https://media.ulta.com/i/ulta/2525716?w=400&$ProductCardNeutralBGLight$&fmt=auto,3.49
Clear Duo Active Strip Lash Adhesive,Ardell,https://media.ulta.com/i/ulta/2620235?w=400&$ProductCardNeutralBGLight$&fmt=auto,6.29,Rich,Beautiful clear duo active strip lash adhesive for a flawless finish,#5c8f6d,Mascara,Clear Duo Active Strip Lash Adhesive,https://media.ulta.com/i/ulta/2620235?w=400&$ProductCardNeutralBGLight$&fmt=auto,6.29
"Press On Wispies Mini, Volume",Ardell,https://media.ulta.com/i/ulta/2634729?w=400&$ProductCardNeutralBGLight$&fmt=auto,5.59,Medium,"Beautiful press on wispies mini, volume for a flawless finish",#0b07a1,Makeup,"Press On Wispies Mini, Volume",https://media.ulta.com/i/ulta/2634729?w=400&$ProductCardNeutralBGLight$&fmt=auto,5.59
"Press On Wispies Mini, Natural",Ardell,https://media.ulta.com/i/ulta/2634700?w=400&$ProductCardNeutralBGLight$&fmt=auto,5.59,Deep,"Beautiful press on wispies mini, natural for a flawless finish",#29ede2,Makeup,"Press On Wispies Mini, Natural",https://media.ulta.com/i/ulta/2634700?w=400&$ProductCardNeutralBGLight$&fmt=auto,5.59
Magnetic Liquid Liner & Lash,Ardell,https://media.ulta.com/i/ulta/2576782?w=400&$ProductCardNeutralBGLight$&fmt=auto,11.19,Rich,Beautiful magnetic liquid liner & lash for a flawless finish,#651b35,Mascara,Magnetic Liquid Liner & Lash,https://media.ulta.com/i/ulta/2576782?w=400&$ProductCardNeutralBGLight$&fmt=auto,11.19
Active Lash with Flexible Band,Ardell,https://media.ulta.com/i/ulta/2597900?w=400&$ProductCardNeutralBGLight$&fmt=auto,4.89,Deep,Beautiful active lash with flexible band for a flawless finish,#3cd45b,Mascara,Active Lash with Flexible Band,https://media.ulta.com/i/ulta/2597900?w=400&$ProductCardNeutralBGLight$&fmt=auto,4.89
Naked False Lash #422 Multipack,Ardell,https://media.ulta.com/i/ulta/2611856?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.09,Medium,Beautiful naked false lash #422 multipack for a flawless finish,#3c311f,Mascara,Naked False Lash #422 Multipack,https://media.ulta.com/i/ulta/2611856?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.09
Rosewater & Biotin Striplash Adhesive,Ardell,https://media.ulta.com/i/ulta/2576733?w=400&$ProductCardNeutralBGLight$&fmt=auto,5.95,Deep,Beautiful rosewater & biotin striplash adhesive for a flawless finish,#95562d,Mascara,Rosewater & Biotin Striplash Adhesive,https://media.ulta.com/i/ulta/2576733?w=400&$ProductCardNeutralBGLight$&fmt=auto,5.95
Cheek Kiss Liquid Blush + Glow,Milani,https://media.ulta.com/i/ulta/2629263?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.99,Light,Beautiful cheek kiss liquid blush + glow for a flawless finish,#636899,Blush,Cheek Kiss Liquid Blush + Glow,https://media.ulta.com/i/ulta/2629263?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.99
Cheek Kiss Cream Blush,Milani,https://media.ulta.com/i/ulta/2573982?w=400&$ProductCardNeutralBGLight$&fmt=auto,10.99,Medium,Beautiful cheek kiss cream blush for a flawless finish,#173d47,Blush,Cheek Kiss Cream Blush,https://media.ulta.com/i/ulta/2573982?w=400&$ProductCardNeutralBGLight$&fmt=auto,10.99
Cheek Kiss Cream Bronzer,Milani,https://media.ulta.com/i/ulta/2617875?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.99,Rich,Beautiful cheek kiss cream bronzer for a flawless finish,#fa1827,Bronzer,Cheek Kiss Cream Bronzer,https://media.ulta.com/i/ulta/2617875?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.99
Baked Blush - Radiant Powder Blush,Milani,https://media.ulta.com/i/ulta/2519988?w=400&$ProductCardNeutralBGLight$&fmt=auto,10.99,Rich,Beautiful baked blush - radiant powder blush for a flawless finish,#d106c9,Blush,Baked Blush - Radiant Powder Blush,https://media.ulta.com/i/ulta/2519988?w=400&$ProductCardNeutralBGLight$&fmt=auto,10.99
Highly Rated Anti-Gravity Mascara,Milani,https://media.ulta.com/i/ulta/2587303?w=400&$ProductCardNeutralBGLight$&fmt=auto,8.39,Medium,Beautiful highly rated anti-gravity mascara for a flawless finish,#fffeed,Mascara,Highly Rated Anti-Gravity Mascara,https://media.ulta.com/i/ulta/2587303?w=400&$ProductCardNeutralBGLight$&fmt=auto,8.39
Keep It Full Glossy Plumping Balm,Milani,https://media.ulta.com/i/ulta/2633072?w=400&$ProductCardNeutralBGLight$&fmt=auto,15.99,Rich,Beautiful keep it full glossy plumping balm for a flawless finish,#a40443,Makeup,Keep It Full Glossy Plumping Balm,https://media.ulta.com/i/ulta/2633072?w=400&$ProductCardNeutralBGLight$&fmt=auto,15.99
Conceal + Perfect 2-in-1 Foundation + Concealer,Milani,https://media.ulta.com/i/ulta/2519968?w=400&$ProductCardNeutralBGLight$&fmt=auto,11.99,Rich,Beautiful conceal + perfect 2-in-1 foundation + concealer for a flawless finish,#fe7298,Foundation,Conceal + Perfect 2-in-1 Foundation + Concealer,https://media.ulta.com/i/ulta/2519968?w=400&$ProductCardNeutralBGLight$&fmt=auto,11.99
Highly Rated Lash Extensions Tubing Mascara,Milani,https://media.ulta.com/i/ulta/2605150?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.79,Medium,Beautiful highly rated lash extensions tubing mascara for a flawless finish,#a6e88d,Mascara,Highly Rated Lash Extensions Tubing Mascara,https://media.ulta.com/i/ulta/2605150?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.79
Color Fetish Matte Lipstick,Milani,https://media.ulta.com/i/ulta/2581813?w=400&$ProductCardNeutralBGLight$&fmt=auto,10.99,Light,Beautiful color fetish matte lipstick for a flawless finish,#3b73e0,Lipstick,Color Fetish Matte Lipstick,https://media.ulta.com/i/ulta/2581813?w=400&$ProductCardNeutralBGLight$&fmt=auto,10.99
Conceal + Perfect Blur Out Powder,Milani,https://media.ulta.com/i/ulta/2605159?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.99,Light,Beautiful conceal + perfect blur out powder for a flawless finish,#f088f2,Powder,Conceal + Perfect Blur Out Powder,https://media.ulta.com/i/ulta/2605159?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.99
Conceal + Perfect Blur Out Smoothing Primer,Milani,https://media.ulta.com/i/ulta/2629268?w=400&$ProductCardNeutralBGLight$&fmt=auto,15.99,Deep,Beautiful conceal + perfect blur out smoothing primer for a flawless finish,#00f1fd,Makeup,Conceal + Perfect Blur Out Smoothing Primer,https://media.ulta.com/i/ulta/2629268?w=400&$ProductCardNeutralBGLight$&fmt=auto,15.99
Conceal + Perfect Longwear Concealer,Milani,https://media.ulta.com/i/ulta/2546825?w=400&$ProductCardNeutralBGLight$&fmt=auto,10.99,Medium,Beautiful conceal + perfect longwear concealer for a flawless finish,#bc66d1,Concealer,Conceal + Perfect Longwear Concealer,https://media.ulta.com/i/ulta/2546825?w=400&$ProductCardNeutralBGLight$&fmt=auto,10.99
Skin Twin Featherweight Foundation,Beautycounter,https://media.ulta.com/i/ulta/2606492?w=400&$ProductCardNeutralBGLight$&fmt=auto,5.2,Light,Beautiful skin twin featherweight foundation for a flawless finish,#d75fb5,Foundation,Skin Twin Featherweight Foundation,https://media.ulta.com/i/ulta/2606492?w=400&$ProductCardNeutralBGLight$&fmt=auto,5.2
Dew Skin Tinted Moisturizer,Beautycounter,https://media.ulta.com/i/ulta/2606461?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.5,Medium,Beautiful dew skin tinted moisturizer for a flawless finish,#417ba0,Makeup,Dew Skin Tinted Moisturizer,https://media.ulta.com/i/ulta/2606461?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.5
Skin Twin Creamy Concealer,Beautycounter,https://media.ulta.com/i/ulta/2606516?w=400&$ProductCardNeutralBGLight$&fmt=auto,3.4,Rich,Beautiful skin twin creamy concealer for a flawless finish,#5e1ed6,Concealer,Skin Twin Creamy Concealer,https://media.ulta.com/i/ulta/2606516?w=400&$ProductCardNeutralBGLight$&fmt=auto,3.4
Stay All Day Waterproof Liquid Eye Liner,Stila,https://media.ulta.com/i/ulta/2215097?w=400&$ProductCardNeutralBGLight$&fmt=auto,24.0,Medium,Beautiful stay all day waterproof liquid eye liner for a flawless finish,#267ce4,Makeup,Stay All Day Waterproof Liquid Eye Liner,https://media.ulta.com/i/ulta/2215097?w=400&$ProductCardNeutralBGLight$&fmt=auto,24.0
One Step Correct Skin Tone Correcting & Brightening Primer,Stila,https://media.ulta.com/i/ulta/2220677?w=400&$ProductCardNeutralBGLight$&fmt=auto,36.0,Medium,Beautiful one step correct skin tone correcting & brightening primer for a flawless finish,#8ca552,Makeup,One Step Correct Skin Tone Correcting & Brightening Primer,https://media.ulta.com/i/ulta/2220677?w=400&$ProductCardNeutralBGLight$&fmt=auto,36.0
Stay All Day Liquid Lipstick Matte,Stila,https://media.ulta.com/i/ulta/2632937?w=400&$ProductCardNeutralBGLight$&fmt=auto,24.0,Medium,Beautiful stay all day liquid lipstick matte for a flawless finish,#2f8e13,Lipstick,Stay All Day Liquid Lipstick Matte,https://media.ulta.com/i/ulta/2632937?w=400&$ProductCardNeutralBGLight$&fmt=auto,24.0
Heaven's Hue Highlighter,Stila,https://media.ulta.com/i/ulta/2538946?w=400&$ProductCardNeutralBGLight$&fmt=auto,34.0,Rich,Beautiful heaven's hue highlighter for a flawless finish,#1ac252,Highlighter,Heaven's Hue Highlighter,https://media.ulta.com/i/ulta/2538946?w=400&$ProductCardNeutralBGLight$&fmt=auto,34.0
Shimmer & Glow Liquid Eye Shadow,Stila,https://media.ulta.com/i/ulta/2520426?w=400&$ProductCardNeutralBGLight$&fmt=auto,25.0,Deep,Beautiful shimmer & glow liquid eye shadow for a flawless finish,#575f6b,Eyeshadow,Shimmer & Glow Liquid Eye Shadow,https://media.ulta.com/i/ulta/2520426?w=400&$ProductCardNeutralBGLight$&fmt=auto,25.0
Heaven's Dew All Over Glimmer,Stila,https://media.ulta.com/i/ulta/2607733?w=400&$ProductCardNeutralBGLight$&fmt=auto,30.0,Light,Beautiful heaven's dew all over glimmer for a flawless finish,#5bfa91,Makeup,Heaven's Dew All Over Glimmer,https://media.ulta.com/i/ulta/2607733?w=400&$ProductCardNeutralBGLight$&fmt=auto,30.0
Calligraphy Lip Stain,Stila,https://media.ulta.com/i/ulta/2607389?w=400&$ProductCardNeutralBGLight$&fmt=auto,25.0,Light,Beautiful calligraphy lip stain for a flawless finish,#ba69f9,Lipstick,Calligraphy Lip Stain,https://media.ulta.com/i/ulta/2607389?w=400&$ProductCardNeutralBGLight$&fmt=auto,25.0
Blush & Bronze Hydro-Blur Cheek Duo,Stila,https://media.ulta.com/i/ulta/2617321?w=400&$ProductCardNeutralBGLight$&fmt=auto,32.0,Deep,Beautiful blush & bronze hydro-blur cheek duo for a flawless finish,#3a8782,Blush,Blush & Bronze Hydro-Blur Cheek Duo,https://media.ulta.com/i/ulta/2617321?w=400&$ProductCardNeutralBGLight$&fmt=auto,32.0
Convertible Color Lip & Cheek Cream Blush,Stila,https://media.ulta.com/i/ulta/2153892?w=400&$ProductCardNeutralBGLight$&fmt=auto,25.0,Deep,Beautiful convertible color lip & cheek cream blush for a flawless finish,#18a4b4,Lipstick,Convertible Color Lip & Cheek Cream Blush,https://media.ulta.com/i/ulta/2153892?w=400&$ProductCardNeutralBGLight$&fmt=auto,25.0
Magnum XXX Volumizing Mascara,Stila,https://media.ulta.com/i/ulta/2549809?w=400&$ProductCardNeutralBGLight$&fmt=auto,26.0,Rich,Beautiful magnum xxx volumizing mascara for a flawless finish,#82366c,Mascara,Magnum XXX Volumizing Mascara,https://media.ulta.com/i/ulta/2549809?w=400&$ProductCardNeutralBGLight$&fmt=auto,26.0
Kiss The New Natural Lash Multipack,Kiss,https://media.ulta.com/i/ulta/2619127?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.44,Deep,Beautiful kiss the new natural lash multipack for a flawless finish,#01db6f,Mascara,Kiss The New Natural Lash Multipack,https://media.ulta.com/i/ulta/2619127?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.44
"Kiss So Wispy Lash Multipack, Pompadour",Kiss,https://media.ulta.com/i/ulta/2578883?w=400&$ProductCardNeutralBGLight$&fmt=auto,8.39,Deep,"Beautiful kiss so wispy lash multipack, pompadour for a flawless finish",#c0d489,Mascara,"Kiss So Wispy Lash Multipack, Pompadour",https://media.ulta.com/i/ulta/2578883?w=400&$ProductCardNeutralBGLight$&fmt=auto,8.39
Kiss imPRESS Long Lasting Self Adhesive Eyelashes,Kiss,https://media.ulta.com/i/ulta/2633736?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.59,Deep,Beautiful kiss impress long lasting self adhesive eyelashes for a flawless finish,#4d32d3,Mascara,Kiss imPRESS Long Lasting Self Adhesive Eyelashes,https://media.ulta.com/i/ulta/2633736?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.59
