brand,product_name,price,image_url,product_type,shade,color_hex,description,url,image_alt,source
Ardell,Seamless Underlash Extension Refill - Faux Mink,4.19,https://media.ulta.com/i/ulta/2616016?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Medium,#716d5d,Beautiful seamless underlash extension refill - faux mink for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,Faux Mink False Eyelash Combination Individuals,4.89,https://media.ulta.com/i/ulta/2538578?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Medium,#b07732,Beautiful faux mink false eyelash combination individuals for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,Light As Air Lashes #522 Multipack,12.59,https://media.ulta.com/i/ulta/2606043?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Rich,#50bc19,Beautiful light as air lashes #522 multipack for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,"Naked Extensions Kit, Combo Individual Lashes",8.39,https://media.ulta.com/i/ulta/2620228?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Light,#661c51,"Beautiful naked extensions kit, combo individual lashes for a flawless finish",No URL,No alt text,all_makeup_products
Ardell,Active Duo Black Adhesive for Strip Lashes,6.29,https://media.ulta.com/i/ulta/2597903?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Light,#40a684,Beautiful active duo black adhesive for strip lashes for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,Naked False Eyelashes #421 in Black,3.49,https://media.ulta.com/i/ulta/2553182?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Rich,#16d273,Beautiful naked false eyelashes #421 in black for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,Soft Touch Trios False Eyelash in Short & Medium Length,3.49,https://media.ulta.com/i/ulta/2525716?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Deep,#89d08b,Beautiful soft touch trios false eyelash in short & medium length for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,Clear Duo Active Strip Lash Adhesive,6.29,https://media.ulta.com/i/ulta/2620235?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Rich,#5c8f6d,Beautiful clear duo active strip lash adhesive for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,"Press On Wispies Mini, Volume",5.59,https://media.ulta.com/i/ulta/2634729?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Medium,#0b07a1,"Beautiful press on wispies mini, volume for a flawless finish",No URL,No alt text,all_makeup_products
Ardell,"Press On Wispies Mini, Natural",5.59,https://media.ulta.com/i/ulta/2634700?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Deep,#29ede2,"Beautiful press on wispies mini, natural for a flawless finish",No URL,No alt text,all_makeup_products
Ardell,Magnetic Liquid Liner & Lash,11.19,https://media.ulta.com/i/ulta/2576782?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Rich,#651b35,Beautiful magnetic liquid liner & lash for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,Active Lash with Flexible Band,4.89,https://media.ulta.com/i/ulta/2597900?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Deep,#3cd45b,Beautiful active lash with flexible band for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,Naked False Lash #422 Multipack,9.09,https://media.ulta.com/i/ulta/2611856?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Medium,#3c311f,Beautiful naked false lash #422 multipack for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,Rosewater & Biotin Striplash Adhesive,5.95,https://media.ulta.com/i/ulta/2576733?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Deep,#95562d,Beautiful rosewater & biotin striplash adhesive for a flawless finish,No URL,No alt text,all_makeup_products
Milani,Cheek Kiss Liquid Blush + Glow,12.99,https://media.ulta.com/i/ulta/2629263?w=400&$ProductCardNeutralBGLight$&fmt=auto,Blush,Light,#636899,Beautiful cheek kiss liquid blush + glow for a flawless finish,No URL,No alt text,all_makeup_products
Milani,Cheek Kiss Cream Blush,10.99,https://media.ulta.com/i/ulta/2573982?w=400&$ProductCardNeutralBGLight$&fmt=auto,Blush,Medium,#173d47,Beautiful cheek kiss cream blush for a flawless finish,No URL,No alt text,all_makeup_products
Milani,Cheek Kiss Cream Bronzer,12.99,https://media.ulta.com/i/ulta/2617875?w=400&$ProductCardNeutralBGLight$&fmt=auto,Bronzer,Rich,#fa1827,Beautiful cheek kiss cream bronzer for a flawless finish,No URL,No alt text,all_makeup_products
Milani,Baked Blush - Radiant Powder Blush,10.99,https://media.ulta.com/i/ulta/2519988?w=400&$ProductCardNeutralBGLight$&fmt=auto,Blush,Rich,#d106c9,Beautiful baked blush - radiant powder blush for a flawless finish,No URL,No alt text,all_makeup_products
Milani,Highly Rated Anti-Gravity Mascara,8.39,https://media.ulta.com/i/ulta/2587303?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Medium,#fffeed,Beautiful highly rated anti-gravity mascara for a flawless finish,No URL,No alt text,all_makeup_products
Milani,Keep It Full Glossy Plumping Balm,15.99,https://media.ulta.com/i/ulta/2633072?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Rich,#a40443,Beautiful keep it full glossy plumping balm for a flawless finish,No URL,No alt text,all_makeup_products
Milani,Conceal + Perfect 2-in-1 Foundation + Concealer,11.99,https://media.ulta.com/i/ulta/2519968?w=400&$ProductCardNeutralBGLight$&fmt=auto,Foundation,Rich,#fe7298,Beautiful conceal + perfect 2-in-1 foundation + concealer for a flawless finish,No URL,No alt text,all_makeup_products
Milani,Highly Rated Lash Extensions Tubing Mascara,9.79,https://media.ulta.com/i/ulta/2605150?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Medium,#a6e88d,Beautiful highly rated lash extensions tubing mascara for a flawless finish,No URL,No alt text,all_makeup_products
Milani,Color Fetish Matte Lipstick,10.99,https://media.ulta.com/i/ulta/2581813?w=400&$ProductCardNeutralBGLight$&fmt=auto,Lipstick,Light,#3b73e0,Beautiful color fetish matte lipstick for a flawless finish,No URL,No alt text,all_makeup_products
Milani,Conceal + Perfect Blur Out Powder,12.99,https://media.ulta.com/i/ulta/2605159?w=400&$ProductCardNeutralBGLight$&fmt=auto,Powder,Light,#f088f2,Beautiful conceal + perfect blur out powder for a flawless finish,No URL,No alt text,all_makeup_products
Milani,Conceal + Perfect Blur Out Smoothing Primer,15.99,https://media.ulta.com/i/ulta/2629268?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Deep,#00f1fd,Beautiful conceal + perfect blur out smoothing primer for a flawless finish,No URL,No alt text,all_makeup_products
Milani,Conceal + Perfect Longwear Concealer,10.99,https://media.ulta.com/i/ulta/2546825?w=400&$ProductCardNeutralBGLight$&fmt=auto,Concealer,Medium,#bc66d1,Beautiful conceal + perfect longwear concealer for a flawless finish,No URL,No alt text,all_makeup_products
Beautycounter,Skin Twin Featherweight Foundation,5.2,https://media.ulta.com/i/ulta/2606492?w=400&$ProductCardNeutralBGLight$&fmt=auto,Foundation,Light,#d75fb5,Beautiful skin twin featherweight foundation for a flawless finish,No URL,No alt text,all_makeup_products
Beautycounter,Dew Skin Tinted Moisturizer,12.5,https://media.ulta.com/i/ulta/2606461?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Medium,#417ba0,Beautiful dew skin tinted moisturizer for a flawless finish,No URL,No alt text,all_makeup_products
Beautycounter,Skin Twin Creamy Concealer,3.4,https://media.ulta.com/i/ulta/2606516?w=400&$ProductCardNeutralBGLight$&fmt=auto,Concealer,Rich,#5e1ed6,Beautiful skin twin creamy concealer for a flawless finish,No URL,No alt text,all_makeup_products
Stila,Stay All Day Waterproof Liquid Eye Liner,24.0,https://media.ulta.com/i/ulta/2215097?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Medium,#267ce4,Beautiful stay all day waterproof liquid eye liner for a flawless finish,No URL,No alt text,all_makeup_products
Stila,One Step Correct Skin Tone Correcting & Brightening Primer,36.0,https://media.ulta.com/i/ulta/2220677?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Medium,#8ca552,Beautiful one step correct skin tone correcting & brightening primer for a flawless finish,No URL,No alt text,all_makeup_products
Stila,Stay All Day Liquid Lipstick Matte,24.0,https://media.ulta.com/i/ulta/2632937?w=400&$ProductCardNeutralBGLight$&fmt=auto,Lipstick,Medium,#2f8e13,Beautiful stay all day liquid lipstick matte for a flawless finish,No URL,No alt text,all_makeup_products
Stila,Heaven's Hue Highlighter,34.0,https://media.ulta.com/i/ulta/2538946?w=400&$ProductCardNeutralBGLight$&fmt=auto,Highlighter,Rich,#1ac252,Beautiful heaven's hue highlighter for a flawless finish,No URL,No alt text,all_makeup_products
Stila,Shimmer & Glow Liquid Eye Shadow,25.0,https://media.ulta.com/i/ulta/2520426?w=400&$ProductCardNeutralBGLight$&fmt=auto,Eyeshadow,Deep,#575f6b,Beautiful shimmer & glow liquid eye shadow for a flawless finish,No URL,No alt text,all_makeup_products
Stila,Heaven's Dew All Over Glimmer,30.0,https://media.ulta.com/i/ulta/2607733?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Light,#5bfa91,Beautiful heaven's dew all over glimmer for a flawless finish,No URL,No alt text,all_makeup_products
Stila,Calligraphy Lip Stain,25.0,https://media.ulta.com/i/ulta/2607389?w=400&$ProductCardNeutralBGLight$&fmt=auto,Lipstick,Light,#ba69f9,Beautiful calligraphy lip stain for a flawless finish,No URL,No alt text,all_makeup_products
Stila,Blush & Bronze Hydro-Blur Cheek Duo,32.0,https://media.ulta.com/i/ulta/2617321?w=400&$ProductCardNeutralBGLight$&fmt=auto,Blush,Deep,#3a8782,Beautiful blush & bronze hydro-blur cheek duo for a flawless finish,No URL,No alt text,all_makeup_products
Stila,Convertible Color Lip & Cheek Cream Blush,25.0,https://media.ulta.com/i/ulta/2153892?w=400&$ProductCardNeutralBGLight$&fmt=auto,Lipstick,Deep,#18a4b4,Beautiful convertible color lip & cheek cream blush for a flawless finish,No URL,No alt text,all_makeup_products
Stila,Magnum XXX Volumizing Mascara,26.0,https://media.ulta.com/i/ulta/2549809?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Rich,#82366c,Beautiful magnum xxx volumizing mascara for a flawless finish,No URL,No alt text,all_makeup_products
Kiss,Kiss The New Natural Lash Multipack,9.44,https://media.ulta.com/i/ulta/2619127?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Deep,#01db6f,Beautiful kiss the new natural lash multipack for a flawless finish,No URL,No alt text,all_makeup_products
Kiss,"Kiss So Wispy Lash Multipack, Pompadour",8.39,https://media.ulta.com/i/ulta/2578883?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Deep,#c0d489,"Beautiful kiss so wispy lash multipack, pompadour for a flawless finish",No URL,No alt text,all_makeup_products
Kiss,Kiss imPRESS Long Lasting Self Adhesive Eyelashes,12.59,https://media.ulta.com/i/ulta/2633736?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Deep,#4d32d3,Beautiful kiss impress long lasting self adhesive eyelashes for a flawless finish,No URL,No alt text,all_makeup_products
Kiss,Kiss Falscara False Eyelash Bond & Seal,6.99,https://media.ulta.com/i/ulta/2558997?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Deep,#19c019,Beautiful kiss falscara false eyelash bond & seal for a flawless finish,No URL,No alt text,all_makeup_products
Kiss,Kiss Bare but Better Nude Nails,8.99,https://media.ulta.com/i/ulta/2613000?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Deep,#02d799,Beautiful kiss bare but better nude nails for a flawless finish,No URL,No alt text,all_makeup_products
Kiss,Kiss Falscara Studio Lash Extension Kit,21.69,https://media.ulta.com/i/ulta/2633724?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Deep,#b6a604,Beautiful kiss falscara studio lash extension kit for a flawless finish,No URL,No alt text,all_makeup_products
Kiss,"Kiss Falscara Multipack, Lash Clusters",5.59,https://media.ulta.com/i/ulta/2625142?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Rich,#806ccc,"Beautiful kiss falscara multipack, lash clusters for a flawless finish",No URL,No alt text,all_makeup_products
Kiss,"Kiss imPRESS Press-On Falsies Eyelash Clusters, Voluminous",11.89,https://media.ulta.com/i/ulta/2604624?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Light,#936877,"Beautiful kiss impress press-on falsies eyelash clusters, voluminous for a flawless finish",No URL,No alt text,all_makeup_products
Kiss,Kiss imPRESS Press-On Falsies Eyelash Clusters Wispy Refill Pack,10.49,https://media.ulta.com/i/ulta/2610984?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Deep,#f91d8c,Beautiful kiss impress press-on falsies eyelash clusters wispy refill pack for a flawless finish,No URL,No alt text,all_makeup_products
Kiss,Kiss imPRESS Press-On Falsies Eyelash Curly Clusters Refill Pack,10.49,https://media.ulta.com/i/ulta/2610988?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Light,#49dcf1,Beautiful kiss impress press-on falsies eyelash curly clusters refill pack for a flawless finish,No URL,No alt text,all_makeup_products
Kiss,Kiss Nail Drip Glue-On Fake Nails,14.99,https://media.ulta.com/i/ulta/2625201?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Light,#816e7c,Beautiful kiss nail drip glue-on fake nails for a flawless finish,No URL,No alt text,all_makeup_products
Kiss,Kiss My Lash But Better False Eyelashes Multipack,8.39,https://media.ulta.com/i/ulta/2604630?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Light,#5bbefe,Beautiful kiss my lash but better false eyelashes multipack for a flawless finish,No URL,No alt text,all_makeup_products
Pixi,On-the-Glow Blush Tinted Moisture Stick,18.0,https://media.ulta.com/i/ulta/2598116?w=400&$ProductCardNeutralBGLight$&fmt=auto,Blush,Rich,#461372,Beautiful on-the-glow blush tinted moisture stick for a flawless finish,No URL,No alt text,all_makeup_products
Pixi,On-the-Glow BASE Foundation Moisture Stick,20.0,https://media.ulta.com/i/ulta/2634196?w=400&$ProductCardNeutralBGLight$&fmt=auto,Foundation,Medium,#bb2486,Beautiful on-the-glow base foundation moisture stick for a flawless finish,No URL,No alt text,all_makeup_products
Pixi,LipMask Tinted Lip Jelly,12.0,https://media.ulta.com/i/ulta/2634263?w=400&$ProductCardNeutralBGLight$&fmt=auto,Lipstick,Rich,#4095e2,Beautiful lipmask tinted lip jelly for a flawless finish,No URL,No alt text,all_makeup_products
Pixi,On-the-Glow Bronze Tinted Moisture Stick,18.0,https://media.ulta.com/i/ulta/2604780?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Medium,#cf329d,Beautiful on-the-glow bronze tinted moisture stick for a flawless finish,No URL,No alt text,all_makeup_products
Pixi,Endless Silky Eye Pen Water Resistant Eye Pencil,12.0,https://media.ulta.com/i/ulta/2562288?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Rich,#8b8e3a,Beautiful endless silky eye pen water resistant eye pencil for a flawless finish,No URL,No alt text,all_makeup_products
Pixi,Pixi + Hello Kitty Lip Tone pH Reactive Tint,8.0,https://media.ulta.com/i/ulta/2598122?w=400&$ProductCardNeutralBGLight$&fmt=auto,Lipstick,Medium,#f19166,Beautiful pixi + hello kitty lip tone ph reactive tint for a flawless finish,No URL,No alt text,all_makeup_products
Pixi,CheekTone and Lip Tone pH Duo Set,22.0,https://media.ulta.com/i/ulta/2636144?w=400&$ProductCardNeutralBGLight$&fmt=auto,Lipstick,Deep,#b07312,Beautiful cheektone and lip tone ph duo set for a flawless finish,No URL,No alt text,all_makeup_products
Pixi,On-the-Glow SuperGlow Highlight Moisture Stick,18.0,https://media.ulta.com/i/ulta/2625610?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Light,#64737a,Beautiful on-the-glow superglow highlight moisture stick for a flawless finish,No URL,No alt text,all_makeup_products
Pixi,Brow Tamer Clear Eyebrow Gel with Aloe Vera,10.0,https://media.ulta.com/i/ulta/2583887?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Medium,#633bff,Beautiful brow tamer clear eyebrow gel with aloe vera for a flawless finish,No URL,No alt text,all_makeup_products
Pixi,Flawless Beauty Primer Hydrating Glow Primer,22.0,https://media.ulta.com/i/ulta/2634195?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Deep,#4f23b5,Beautiful flawless beauty primer hydrating glow primer for a flawless finish,No URL,No alt text,all_makeup_products
Pixi,#NAME?,8.0,https://media.ulta.com/i/ulta/2625611?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Light,#53dbea,Beautiful #name? for a flawless finish,No URL,No alt text,all_makeup_products
Pixi,Correction Concentrate Concealer,12.0,https://media.ulta.com/i/ulta/2612669?w=400&$ProductCardNeutralBGLight$&fmt=auto,Concealer,Light,#d5041f,Beautiful correction concentrate concealer for a flawless finish,No URL,No alt text,all_makeup_products
Pixi,Large Lash Serum with Conditioning Peptides and Plant Extracts,12.6,https://media.ulta.com/i/ulta/2605090?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Rich,#b8113e,Beautiful large lash serum with conditioning peptides and plant extracts for a flawless finish,No URL,No alt text,all_makeup_products
Pixi,Natural Brow Duo 2-In-1 Eyebrow Pencil & Gel,16.0,https://media.ulta.com/i/ulta/2583889?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Medium,#ebaf27,Beautiful natural brow duo 2-in-1 eyebrow pencil & gel for a flawless finish,No URL,No alt text,all_makeup_products
Pixi,Large Lash Mascara,11.2,https://media.ulta.com/i/ulta/2562286?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Light,#3d4050,Beautiful large lash mascara for a flawless finish,No URL,No alt text,all_makeup_products
Pixi,Makeup Fixing Mist with Rose Water and Green Tea,15.0,https://media.ulta.com/i/ulta/2562271?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Light,#72b76d,Beautiful makeup fixing mist with rose water and green tea for a flawless finish,No URL,No alt text,all_makeup_products
Pixi,Sheer Cheek Gel,14.0,https://media.ulta.com/i/ulta/2583892?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Medium,#44f663,Beautiful sheer cheek gel for a flawless finish,No URL,No alt text,all_makeup_products
Pixi,Pixi + Hello Kitty Makeup Fixing Mist,15.0,https://media.ulta.com/i/ulta/2598118?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Rich,#f667db,Beautiful pixi + hello kitty makeup fixing mist for a flawless finish,No URL,No alt text,all_makeup_products
Pixi,LipGlow Tinted Lip Balm,14.0,https://media.ulta.com/i/ulta/2624769?w=400&$ProductCardNeutralBGLight$&fmt=auto,Lipstick,Deep,#6d6806,Beautiful lipglow tinted lip balm for a flawless finish,No URL,No alt text,all_makeup_products
Pixi,LipLift Max Glossy Lip Plumper,14.0,https://media.ulta.com/i/ulta/2562283?w=400&$ProductCardNeutralBGLight$&fmt=auto,Lipstick,Rich,#a001b5,Beautiful liplift max glossy lip plumper for a flawless finish,No URL,No alt text,all_makeup_products
